,select,amazon_url,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9
0,True,https://www.amazon.com/Amazon-Video/s/browse?_encoding=UTF8&node=2858778011&ref_=sd_allcat_aiv,Prime Video,,,,,,,,
1,True,https://www.amazon.com/s/browse?_encoding=UTF8&filterId=OFFER_FILTER%3DPRIME&node=2858778011&ref_=sd_allcat_aiv_piv,Included with Prime,,,,,,,,
2,True,https://www.amazon.com/s/browse?_encoding=UTF8&filterId=OFFER_FILTER%3DSUBSCRIPTIONS&node=2858778011&ref_=sd_allcat_nav_sa_aos,Prime Video Channels,,,,,,,,
3,True,https://www.amazon.com/s/browse?_encoding=UTF8&filterId=OFFER_FILTER%3DTVOD&node=2858778011&ref_=sd_allcat_aiv_shop,Rent or Buy,,,,,,,,
4,True,https://www.amazon.com/gp/video/watchlist/?ie=UTF8&ref_=sd_allcat_aiv_wlst,Your Watchlist,,,,,,,,
5,True,https://www.amazon.com/gp/video/library?ie=UTF8&ref_=sd_allcat_aiv_yvl,Purchases & Rentals,,,,,,,,
6,True,https://www.amazon.com/gp/feature.html?ie=UTF8&docId=1001423601&ref_=sd_allcat_aiv_wtv,Watch Anywhere,,,,,,,,
7,True,https://www.amazon.com/gp/video/getstarted?ie=UTF8&ref_=sd_allcat_aiv_gs,Getting Started,,,,,,,,
8,True,https://www.amazon.com/s/browse?_encoding=UTF8&merchId=originals1&node=2858778011&ref_=sd_allcat_nav_sa_org,Amazon Originals,,,,,,,,
9,True,https://www.amazon.com/s/browse?_encoding=UTF8&merchId=primevideokids&node=2858778011&ref_=sd_allcat_nav_sa_org,Kids,,,,,,,,
10,True,https://www.amazon.com/s/browse?_encoding=UTF8&node=16932271011&nodeId=16932271011&ref_=sd_allcat_CTPGNO,Coming to Prime,,,,,,,,
11,True,https://www.amazon.com/gp/dmusic/promotions/AmazonMusicUnlimited?ie=UTF8&ref_=sd_allcat_dm_hf,Amazon Music Unlimited,,,,,,,,
12,True,https://www.amazon.com/music/unlimited/hd?_encoding=UTF8&ref_=sd_allcat_dm_hf_hd,Amazon Music HD,,,,,,,,
13,True,https://www.amazon.com/gp/dmusic/promotions/PrimeMusic?ie=UTF8&ref_=sd_allcat_dm_pm,Prime Music,,,,,,,,
14,True,https://www.amazon.com/gp/dmusic/mp3/player?ie=UTF8&ref_=sd_allcat_dm_webplayer,Open Web Player,,,,,,,,
15,True,https://www.amazon.com/music-rock-classical-pop-jazz/b?ie=UTF8&node=5174&ref_=sd_allcat_dm_cds_vinyl,CDs & Vinyl,,,,,,,,
16,True,https://www.amazon.com/MP3-Music-Download/b?ie=UTF8&node=163856011&ref_=sd_allcat_dm_store_hf,Download Store,,,,,,,,
17,True,https://www.amazon.com/dp/B07HZLHPKP?_encoding=UTF8&ref_=sd_allcat_ods_ha_echo_ch,Echo Show 5,,,,,,,,
